,ring_metal,Overall Condition,Gemstone Weights (carats),Ring Price (usd),Ring Gross Weight (grams),Ring Size,Diamond Average Color,Diamond Average Clarity,Diamond Shapes,Gems Shapes,Gem Average Clarity,Gem Type
1110,"Ruby, Diamond, Platinum, Gold ", Very Good,[3.6  1.55 1.2  2.75],1314500.0,13.75,6.0, G-H-I, VS,"[' Full-cut, Tapered Baguette-cut']",[' Cushion-shaped'], Good,[' Ruby']
1111,"Colored Diamond, Diamond, Gold ", Very Good,[3.01 3.85],1314500.0,6.9,6.0, J-K-L, SI,"[' Emerald-cut, Full-cut']",[],,[]
1112,"Diamond, Platinum ", Good,[6.  6.4],1314500.0,6.7,4.0, J-K-L, I,"[' Marquise, Tapered Baguette-cut']",[],,[]
1113,"Diamond, White Gold ", Very Good,[3.45 0.6  4.05],1314500.0,4.8,4.0, G-H-I, I,"[' Brilliant-cut, Full-cut']",[],,[]
1114,"Natural Fancy Intense Yellow Diamond, Diamond, Platinum, Gold ",,[2.07 0.45 2.07],1314500.0,5.9,5.0, G-H-I," IF, VS",[],[],,[]
1115,"Ceylon Yellow Sapphire, Diamond, Platinum ", Very Good,[24.5   0.85],1312500.0,16.55,5.0, G-H-I, SI,[' Baguette-cut'],[' Cushion'],,[' Natural Corundum']
1116,"Diamond, Platinum ", Very Good,[2.09 1.01 1.01 2.4  6.51],1312500.0,26.3,, G-H-I, VS,"[' emerald-cut, radiant-cut', ' emerald-cut', ' emerald-cut', ' emerald-cut']",[],,[]
1117,"Ceylon Sapphire, Diamond, Platinum ", Very Good,[3.1 1.5],1312500.0,8.7,4.0, G-H-I, VS,[' Full-cut'],"[' Oval-shaped', ' Oval']",,"[' Sapphire', ' Corundum']"
1118,"Art Deco Diamond, Platinum ", Very Good,[2.75 0.1 ],1312500.0,5.1,7.0, G-H-I, VS,[' European-cut'],[],,[]
1119,"Diamond, Gold ", Very Good,[3.01],1312500.0,4.8,5.0, J-K-L, VS,"[' Oval-shaped', ' Oval']",[],,[]
1120,"Gentleman's Star Sapphire, Diamond, Platinum ", Very Good,[12.5  0.5],1312500.0,17.58,10.0, G-H-I, VS,[' Tapered Baguette-cut'],[' Oval-shaped'], Fair,[' Star Sapphire']
1121,"Burma Ruby, Diamond, Platinum ", Good,[3.95 0.7  1.  ],1250000.0,12.2,6.0, G-H-I, SI,"[' Marquise, Heart']",[' Oval'],,[' Ruby']
1122,"Gentleman's Ceylon Cat's-Eye Chrysoberyl, Gold ", Good,[37.25],1250000.0,39.8,9.0,,,[],[' Round Cabochon'],,"["" Natural Cat's Eye Chrysoberyl""]"
1123,"Tanzanite, Diamond, Platinum ", Very Good,[52.36  1.41],1250000.0,33.9,6.0, G-H-I, SI,[' Full-cut'],[' Cushion'],,[' Tanzanite']
1124,"Diamond, Gold ", Very Good,[3.73 0.65],1250000.0,10.6,6.0, G-H-I, SI,"[' full-cut', ' Round Brilliant']",[],,[]
1125,"Colombian Emerald, Diamond, Gold ", Very Good,[1.75 0.5 ],1250000.0,22.2,7.0, G-H-I, SI,[' full-cut'],"[' Step-cut', ' Heart Cabochon']",,"[' Emerald', ' Emerald']"
1126,"Diamond, Gold ", Very Good,[4.8 1.1 1.2 3. ],1250000.0,21.0,8.0, J-K-L, SI,"[' Radiant, Triangular Brilliant']",[],,[]
1127,"Diamond, Platinum ", Very Good,[2.03 0.6 ],1250000.0,18.5,8.0, G-H-I, VS,"[' tapered baguette, full-cut', ' Cushion Brilliant']",[],,[]
1128,"Ceylon Sapphire, Diamond, White Gold ", Very Good,[9.19 1.35 0.55],1250000.0,9.1,7.0, G-H-I, VS,"[' Full-cut, Marquise-cut']",[' Oval'],,[' Natural Corundum']
1129,"Colombian Emerald, Diamond, Platinum ", Very Good,[4.5  1.5  1.   1.15 5.65],1250000.0,13.09,8.0, G-H-I, VS,"[' pear, full-cut']","[' Octagonal Step-cut, Round', ' Octagonal Step-cut']",,"[' Emerald', ' Natural Beryl']"
1130,"Alexandrite, Diamond, Platinum ", Very Good,[10.26  3.08],1250000.0,12.7,6.0, G-H-I, VS,"[' tapered baguette, full-cut']",[' Oval'],,[' Alexandrite']
1131,"Burma Sapphire, Diamond, Platinum, Gold ", Very Good,[20.18  2.5 ],1250000.0,18.6,5.0, G-H-I, SI,"[' Single-cut, Full-cut']",[' Oval'],,[' Natural Corundum']
1132,"Fancy Yellow Diamond, Diamond, Platinum, Gold ", Very Good,[2.05 1.  ],1250000.0,12.5,5.0, G-H-I, VS,"[' full-cut', ' Oval Modified Brilliant']",[],,[]
1133,"Colombian Emerald, Diamond, Gold ", Very Good,[5.25 2.35 0.65],1250000.0,8.6,5.0, G-H-I, SI,"[' Full-cut, Marquise-cut']",[' Square Emerald Cut'],,[' Natural Beryl']
1134,"Ceylon Sapphire, Diamond, White Gold ", Very Good,[9.08 0.9 ],1250000.0,8.7,7.0, G-H-I, VS,[' Full-cut'],[' Cushion'],,[' Natural Corundum']
1135,"Gentleman's Diamond, White Gold ", Very Good,[3.02],1250000.0,22.2,11.0,,,[' Round Brilliant'],[],,[]
1136,"Colombian Emerald, Diamond, Platinum, Gold ", Good,[4.5 4.8],1250000.0,15.1,5.0, G-H-I, SI,[' European-cut'],[' Square Emerald-cut'],,[' Beryl']
1137,"Diamond, Platinum ", Very Good,[3.27 0.5 ],1250000.0,7.1,6.0, M+,,"[' European-cut, Full-cut', ' Circular Brilliant']",[],,[]
1138,"Ceylon Sapphire, Diamond, Platinum ", Very Good,[6.38 0.63],1250000.0,8.3,5.0, G-H-I, VS,[' Half-Moon'],"[' Oval', ' Oval']",,"[' Sapphire', ' Natural Corundum']"
1139,"Antique Ceylon Sapphire, Diamond, Platinum ", Very Good,[0.3],1250000.0,4.7,6.0, G-H-I, VS,"[' Full-cut, Single-cut']","[' Pyramidal Cabochon', ' Pyramidal Cabochon']",,"[' Sapphire', ' Corundum']"
1140,"Fancy Deep Brownish Orangy Yellow Diamond, Diamond, White Gold ", Very Good,[3.11 1.75],1250000.0,10.2,5.0, G-H-I, SI,"[' Oval-shaped, Full-cut', ' Oval']",[],,[]
1141,"Colombian Emerald, Diamond, White Gold ",,[12.01  1.5 ],1250000.0,8.9,6.0, G-H-I, SI,[' Full-cut'],"[' Cushion Modified Brilliant-Cut', ' Cushion Modified Brilliant']",,"[' Emerald', ' Beryl']"
1142,"Emerald, Diamond, Gold ", Very Good,[4.56 1.  ],1250000.0,5.8,4.0, G-H-I, VS,[' Emerald-cut'],[' Emerald-cut'], Good,[' Emerald']
1143,"Diamond, Platinum ", Very Good,[1.85 0.36],1250000.0,4.7,6.0, G-H-I, VS,"[' Round Brilliant-cut, Bullet-cut']",[],,[]
1144,"Fancy Pink Diamond, Diamond, White Gold ", Very Good,[0.68 0.96 0.19],1250000.0,7.57,6.0, G-H-I,,"[' Heart, Full-cut']",[],,[]
1145,"Diamond, Platinum, Gold ", Very Good,[1.73],1250000.0,10.18,5.0, D-E-F, VVS,[' Marquise-shaped'],[],,[]
1146,"Tanzanite, Diamond, Platinum ", Very Good,[17.64  4.75],1250000.0,20.5,6.0, G-H-I, VS,[' Full-cut'],[' Cushion-cut'], Fine,[' Tanzanite']
1147,"Sapphire, Diamond, Platinum ", Very Good,[8.43 0.5 ],1250000.0,6.58,6.0, G-H-I, VS,[' Tapered Baguette-cut'],[' Oval-shaped'], Good,[' Sapphire']
1148,"Gentleman's Black Opal, Gold ", Very Good,[5.],1250000.0,21.55,10.0,,,[],[],,[]
1149,"Antique Sapphire, Diamond, Platinum ", Good,[11.   1.2],1250000.0,9.1,5.0, J-K-L, SI,"[' Old European, Single cut']",[' Oval-shaped'], Good,[' Sapphire']
1150,"Diamond, Platinum, Gold ", Very Good,[2.  0.6],1250000.0,7.0,6.0, G-H-I, SI,"[' Cushion-cut, Full-cut']",[],,[]
1151,"Diamond, Gold ", Very Good,[2. 1.],1250000.0,10.0,6.0, G-H-I, VS,"[' Round brilliant, baguette, full']",[],,[]
1152,"Gentleman's Diamond, Gold ", Very Good,[3.],1250000.0,7.9,11.0, M+, VS,[' Round Brilliant-cut'],[],,[]
1153,"Fancy Pink Diamond, Diamond, Platinum ", Very Good,[0.29 1.5  1.79],1250000.0,6.0,6.0, G-H-I, VS,"[' Marquise-cut, Full-cut']",[],,[]
1154,"Fancy Yellow Diamond, Diamond, Platinum, Gold ", Very Good,[2.57 0.8  3.37],1250000.0,8.7,6.0, G-H-I, VS,"[' Oval-Brilliant-cut, Full-cut']",[],,[]
1155,"Diamond, Platinum ", Very Good,[2.33 0.3 ],1225000.0,8.2,7.0, G-H-I, VS,"[' Full-cut, Single-cut', ' Round Brilliant']",[],,[]
1156,"Diamond, Platinum ", Very Good,[1.85 0.2 ],1218750.0,3.3,4.0, G-H-I, VS,"[' Baguette', ' Emerald-cut']",[],,[]
1157,"Fancy Intense Yellow Diamond, Colored Diamond, Diamond, Platinum, White Gold ", Very Good,[1.48 0.87],1200000.0,5.1,6.0, G-H-I, VS,"[' Full-cut', ' Pear Modified Brilliant']",[],,[]
1158,"Diamond, Coral, Platinum, Gold ", Very Good,[2.6],1195000.0,26.95,5.0, G-H-I, VS,[' Full-cut'],[' Carved'], Fine,[' Coral']
1159,"Ruby, Diamond, Gold ", Good,[7.   5.45],1195000.0,16.27,7.0, G-H-I, VS,[' Baguette'],[' Emerald-cut'], Good,[' Ruby']
1160,"Diamond, Gold ", Very Good,[2.13 2.6 ],1195000.0,7.6,8.0, G-H-I, VS,[' Round'],[],,[]
1161,"Diamond, Platinum ", Good,[],1195000.0,5.0,6.0,,,"[' Round (2.80 carat), Baguette']",[],,[]
1162,"Diamond, Platinum ", Very Good,[],1195000.0,8.2,5.0,,,[],[],,[]
1163,"Diamond, White Gold ", Very Good,[2.04 1.2 ],1194375.0,5.77,3.0, G-H-I, SI,"[' Full-cut', ' Round Brilliant']",[],,[]
1164,"Diamond, Gold ", Very Good,[2.95],1187500.0,17.5,, J-K-L, SI,[' Round Brilliant'],[],,[]
1165,"Diamond, Platinum Eternity Band", Very Good,[6.59],1187500.0,6.3,, J-K-L, VS,[' Emerald-cut'],[],,[]
1166,"Diamond, Ruby, White Gold ", Good,[ 4.75 13.5 ],1187500.0,14.6,, M+, I,[' Emerald'],[' Calibré'],,[' Ruby']
1167,"Antique Black Opal, Gold ", Good,[],1187500.0,11.6,7.0,,,[],[' Oval'],,[' Black Opal']
1168,"Diamond, Platinum ", Good,[2.23 0.2 ],1187500.0,4.2,3.0, G-H-I, VS,"[' tapered baguette', ' Heart Brilliant']",[],,[]
1169,"Art Deco Diamond, Platinum ", Very Good,[2.45 0.15],1187500.0,3.95,5.0, G-H-I, SI,"[' Single-cut', ' Marquise']",[],,[]
1170,"Retro Diamond, Synthetic Ruby, Platinum, Rose Gold ", Good,[3.55],1187500.0,12.2,3.0, M+, VS,[' European-cut'],[],,[]
1171,"Star Sapphire, Sapphire, Diamond, Platinum ", Good,[39.    1.75],1187500.0,15.0,7.0, J-K-L, SI,[' Single'],[' Oval Cabochon'],,[' Star Sapphire']
1172,"Diamond, Platinum ", Very Good,[1.35 0.95 0.9  0.3  4.3 ],1187500.0,6.9,6.0, G-H-I, VS,"[' Round Brilliant-cut, Single-cut, Baguette-cut']",[],,[]
1173,"Diamond, Platinum ", Very Good,[1.33 1.25 1.1 ],1187500.0,12.5,6.0, G-H-I, VS,"[' Round brilliant-cut, Marquise-cut, Full-cut']",[],,[]
1174,"Star Sapphire, Diamond, Gold ", Very Good,[51.   3.4],1187500.0,30.82,7.0, G-H-I, VS,"[' Full-cut, Marquise-shaped']",[' Oval-shaped'], Good,[' Star Sapphire']
1175,"Diamond, White Gold ", Very Good,[1.51 0.4 ],1187500.0,4.87,5.0, D-E-F, VVS,"[' Round Brilliant-cut, Triangle-cut']",[],,[]
1176,"Diamond, White Gold ", Very Good,[2.63 1.   3.63],1187500.0,5.6,5.0, G-H-I, VS,"[' Emerald-cut, Baguette-cut']",[],,[]
1177,"Diamond, Platinum, White Gold ", Very Good,[3.03 1.   1.14 2.2  7.37],1187500.0,20.27,5.0, J-K-L, SI,"[' Round Brilliant-cut, Pear-Shaped, Full-cut']",[],,[]
1178,"Art Deco Diamond, Sapphire, Platinum ", Good,[2.6  0.7  1.45 3.3 ],1187500.0,6.3,5.0, J-K-L, SI,"[' Round-Brilliant-cut, Single-cut']",[' Square-shaped'], Good,[' Sapphire']
1179,"Art Deco Diamond, Sapphire, Platinum ", Good,[2.6  0.7  1.45 3.3 ],1187500.0,6.3,5.0, J-K-L, SI,"[' Round-Brilliant-cut, Single-cut']",[' Square-shaped'], Good,[' Sapphire']
1180,"Diamond, Gold ", Very Good,[2.22 1.4 ],1156250.0,10.7,4.0, G-H-I, SI,"[' full-cut', ' Marquise Brilliant']",[],,[]
1181,"Diamond, Platinum, Gold ", Very Good,[1.37 0.25],1156250.0,8.2,5.0, D-E-F, VS,"[' Round Brilliant-cut, Full-cut']",[],,[]
1182,"Art Deco Diamond, Platinum, White Gold ", Good,[2.5],1156250.0,11.22,7.0, J-K-L, VS,[' European-cut'],[],,[]
1183,"Diamond, Platinum ", Very Good,[2.01 0.45],1150000.0,6.3,3.0, G-H-I, VS,"[' Pear-shaped, Tapered Baguette-cut']",[],,[]
1184,"Art Deco Diamond, Platinum ", Very Good,[1.5  1.52],1135250.0,2.2,5.0, G-H-I, VS,[' Transitional - Round & Full-cuts'],[],,[]
1185,"Gentleman's Cat's-Eye Chrysoberyl, Gold ", Very Good,[15.],1135250.0,13.9,5.0,,,[],[],,[]
1186,"Colored Diamond, Diamond, White Gold ", Very Good,[5.49 0.5  5.49],1135250.0,5.3,6.0, G-H-I, I,[],[],,[]
1187,"Sapphire, Diamond, White Gold ", Very Good,[6.18 1.5  1.5  3.  ],1135250.0,4.5,6.0, J-K-L, I,[' European-cut'],[' Oval-shaped'], Fine,[' Sapphire']
1188,"Diamond, White Gold ", Very Good,[1.63 1.61 1.5 ],1125000.0,11.6,6.0, G-H-I, VS,"[' Full-cut', ' Round Brilliant', ' Round Brilliant']",[],,[]
1189,"Spinel, Diamond, White Gold ", Good,[6. 1.],1125000.0,9.5,6.0, J-K-L, I,[' Full-cut'],[' Cushion'],,[' Spinel']
1190,"Burma Ruby, Diamond, Platinum ", Good,[4.73 2.75],1125000.0,11.78,6.0, G-H-I, SI,[' Full-cut'],[' Oval'],,[' Natural Corundum']
1191,"Colored Diamond, Diamond, Gold ", Very Good,[4.02 0.55],1125000.0,5.8,7.0, G-H-I, SI,"[' Full-cut', ' Cut-cornered Square Modified Brilliant']",[],,[]
1192,"Art Deco Diamond, Platinum ", Good,[2.28 1.41 1.3  0.45],1125000.0,7.9,5.0, J-K-L, I,"[' European, Single-cut', ' Old European Brilliant', ' Old European Brilliant', ' Old European Brilliant']",[],,[]
1193,"Diamond, Platinum ", Very Good,[2.09 0.5 ],1125000.0,9.1,6.0, G-H-I, SI,"[' Full-cut, Single-cut', ' Old European Brilliant']",[],,[]
1194,"Art Deco Ceylon Sapphire, Diamond, Platinum ", Very Good,[5.3  0.75],1125000.0,10.07,6.0, G-H-I, SI,"[' European-cut, Single-cut']",[' Oval'],,[' Natural Corundum']
1195,"Fancy Greyish Yellowish Green Diamond, Diamond, Platinum, Gold ", Very Good,[3.01 0.1  1.49 0.23 0.11],1125000.0,8.7,7.0, G-H-I, VS,"[' Oval-cut, full-cut']",[],,[]
1196,"Colombian Emerald, Diamond, White Gold ", Very Good,[6.  3.8 1.7],1125000.0,12.6,5.0, G-H-I, SI,"[' Pear, Marquise']",[' Emerald-cut'],,[' Emerald']
1197,"Diamond, Platinum ", Very Good,[2.43],1125000.0,26.0,8.0,,,[' Round Brilliant'],[],,[]
1198,"Gentleman's Ruby, Gold ", Very Good,[90.],1125000.0,59.9,10.0,,,[],[' Oval cabochon'],,[' Ruby']
1199,"Diamond, Platinum ", Very Good,[1.65 1.  ],1125000.0,8.16,6.0, G-H-I, VS,"[' Round Brilliant', ' Round Brilliant']",[],,[]
1200,"Fancy Light Yellow, Diamond, Platinum, Gold ", Very Good,[3.04 0.6 ],1125000.0,6.94,7.0, G-H-I, SI,"[' Triangle', ' Cut-Cornered Rectangular Modified Brilliant']",[],,[]
1201,"Diamond, Platinum Eternity Band", Very Good,[8.75],1125000.0,8.9,, G-H-I, VS,[' Emerald-cut'],[],,[]
1202,"Diamond, Platinum ", Very Good,[1.75 0.58],1125000.0,7.04,, G-H-I, SI,"[' Round Brilliant, Full-cut', ' Round Brilliant-cut']",[],,[]
1203,"Art Deco Diamond, Platinum ", Very Good,[2.15 0.15],1125000.0,4.9,7.0, G-H-I, VS,"[' European-cut, Full-cut, Single-cut']",[],,[]
1204,"Colored Diamond, Diamond, Gold ", Very Good,[3.3  0.65],1125000.0,5.9,6.0, G-H-I, SI,"[' Round Brilliant-Cut, Full-cut']",[],,[]
1205,"Tanzanite, Diamond, Tourmaline, White Gold ", Very Good,[42.54  1.76  0.6 ],1125000.0,23.18,6.0, G-H-I, SI,[' Full-cut'],[],,[]
1206,"Art Deco Diamond, Ruby, Platinum ", Very Good,[1.08 1.1  1.3 ],1125000.0,10.3,6.0, D-E-F, VVS,"[' Emerald-cut, Full-cut']","[' Baguette-cut, Calibré-cut']", Good,[' Ruby']
1207,"Stephen Webster Ruby, Diamond, Pink Gold Two-Finger ", Excellent,[],1125000.0,,, G-H-I, VS,[' Full-cut'],[],,[]
1208,"Art Deco Emerald, Diamond, Platinum ", Good,[1.  2.9 0.2],1125000.0,4.3,7.0, J-K-L, SI,[' European-cut'],[' Cushion-shaped'], Fine,[' Emerald']
1209,"Sapphire, Diamond, Platinum ", Good,[7.5 0.7],1125000.0,7.0,6.0, J-K-L, SI,"[' Bullet-shaped, Full-cut']",[' Sugarloaf-shaped'],,[' Sapphire']
1210,"Art Deco Diamond, Platinum ", Very Good,[1.85],1125000.0,4.6,5.0, G-H-I, SI,[' European and single-cut'],[],,[]
1211,"Sapphire, Diamond, Platinum ", Very Good,[7.03 2.8 ],1125000.0,13.54,5.0, G-H-I, VS,"[' Square-shaped, Rectangular-shaped, Trapezoid-shaped']",[' Heart-shaped'], Good,[' Sapphire']
1212,"Rubellite, Diamond, Platinum ", Excellent,[20.26  0.44],1125000.0,10.7,5.0, G-H-I, VS,[' Baguette-cut'],[' Oval-shaped'], Good,[' Rubellite Tourmaline']
1213,"Fancy Yellow Diamond, Diamond, Platinum, Gold ", Very Good,[2.02 0.75],1125000.0,6.0,6.0, G-H-I, VS,"[' Cushion-cut, Full-cut']",[],,[]
1214,"Fancy Intense Yellow Diamond, Diamond, Gold ", Very Good,[1.62 0.6 ],1120000.0,4.0,6.0, G-H-I, VS,"[' triangular brilliant-cut', ' Modified Octagonal Step-Cut']",[],,[]
1215,"Diamond, Platinum ", Very Good,[1.9  0.62],1100000.0,5.77,6.0, G-H-I, VS,"[' Radiant', ' Square Modified Brilliant']",[],,[]
1216,"Emerald, Diamond, Gold ", Very Good,[10.56  7.  ],1100000.0,24.3,7.0, G-H-I, VS,[' Full-cut'],[' Cushion-shaped'],,[' Emerald']
1217,"Yellow Sapphire, Diamond, Platinum ", Very Good,[15.59  1.4 ],1100000.0,11.1,6.0, G-H-I, VS,[' Full-cut'],"[' Cushion-shaped', ' Cushion-shaped']",,"[' Yellow Sapphire', ' Corundum']"
1218,"Ceylon Star Sapphire, Diamond, Platinum ", Very Good,[34.   1.8  0.9],1093750.0,16.9,7.0, G-H-I, SI,"[' marquise, full-cut']",[' Oval Cabochon'],,[' Star Sapphire']
1219,"Diamond, Gold ", Good,[2.95 0.25],1093750.0,9.4,, G-H-I, SI,"[' European-cut, Full-cut']",[],,[]
1220,"Irradiated Yellow Diamond, Diamond, White Gold ", Very Good,[4.6  1.12],1093750.0,6.9,7.0, J-K-L, SI,"[' Round Brilliant-cut, Full-cut']",[],,[]
1221,"Gentleman's Diamond, White Gold ", Very Good,[3.04 3.44],1093750.0,8.6,9.0, J-K-L, SI,"[' Round Brilliant-cut, Full-cut, European-cut']",[],,[]
1222,"Emerald, Diamond, White Gold ", Excellent,[14.3  2.2],1075500.0,16.2,6.0, G-H-I, VS,[' Full-cut'],[' Octagonal-shaped'], Fine,[' Emerald']
1223,"Diamond, White Gold Eternity Band", Good,[7.],1075500.0,7.2,, G-H-I, SI,[' Round'],[],,[]
1224,"Star Sapphire, Diamond, Platinum, Gold ", Excellent,[6.55 2.4 ],1075500.0,10.2,8.0, D-E-F, VS,[' Oval-shaped'],[' Round-shaped cabochon'], Fine,[' Star Sapphire']
1225,"Diamond, White Gold ", Excellent,[18.],1075500.0,24.71,, G-H-I, VS,[' Round'],[],,[]
1226,"Diamond, Emerald, Gold ", Very Good,[1.56 0.6  0.3  2.16],1075500.0,6.05,5.0, J-K-L, IF,"[' Brilliant-cut, Full-cut']",[' Round-shaped'], Good,[' Emerald']
1227,"Burma Ruby, Diamond, Platinum ", Very Good,[3.03 0.95],1075500.0,4.4,6.0, D-E-F, VS,"[' Square-cut, European-cut, Single-cut']",[' Custion-shaped'], Fine,[' Burma Ruby']
1228,"Diamond, Platinum ", Very Good,[2.76 0.62 1.08 4.46],1075500.0,16.3,5.0, J-K-L, VS,"[' Square Modified Brilliant, Emerald-cut, Full-cut']",[],,[]
1229,"Tsavorite Garnet, Diamond, Gold ", Very Good,[2.35 0.3 ],1000.0,9.9,4.0, G-H-I, SI,[' Full-Cut'],[' Square'],,[' Tsavorite Garnet']
1230,"Gentleman's Diamond, Gold ", Very Good,[3.2],1075500.0,9.8,11.0, J-K-L, SI,[' Round Brilliant-cut'],[],,[]
1231,"Diamond, Twotone Gold ", Very Good,[3.01 1.25 3.01],1075500.0,7.6,5.0,,,[],[],,[]
1232,"Diamond, Emerald, Platinum ", Very Good,[2.2 1.3 3.5],1075500.0,13.2,, G-H-I, SI,"[' Round Brilliant, Baguette-cut']",[' Baguette-cut'], Fine,[' Emerald']
1233,"Sapphire, Diamond, Gold ", Very Good,[],1075500.0,24.6,8.0,,,[' Full-Cut'],[],,[]
1234,"Diamond, Gold ", Very Good,[],1075500.0,5.0,7.0,,,[' European'],[],,[]
1235,"Colored Diamond, Diamond, Gold, Platinum ", Very Good,[],1075500.0,10.9,6.0,,,"[' Round, Radiant-Cut']",[],,[]
1236,"Diamond, Platinum ", Very Good,[],1075500.0,5.2,6.0,,,"[' Marquise, Bullet-shape']",[],,[]
1237,"Diamond, Gold ", Very Good,[3.15 0.5 ],1062500.0,4.3,6.0, J-K-L, VS,"[' Triangular', ' Emerald-cut']",[],,[]
1238,"Burma Sapphire, White Gold ", Very Good,[3.9],1062500.0,3.3,7.0,,,[],"[' Cushion', ' Cushion']",,"[' Sapphire', ' Natural Corundum']"
1239,"Diamond, Gold ", Very Good,[1.81 1.  ],1062500.0,7.9,7.0, J-K-L, I,"[' Full-cut', ' Round Brilliant']",[],,[]
1240,"Tanzanite, Diamond, Gold ", Very Good,[34.  1.],1062500.0,27.0,6.0, G-H-I, VS,[' Full-cut'],[' Sugarloaf'],,[' Tanzanite']
1241,"Diamond, Platinum, Gold ", Very Good,[2.05 0.7 ],1062500.0,20.3,7.0, G-H-I, VS,"[' Full-cut', ' Round Brilliant']",[],,[]
1242,"Diamond, White Gold ", Very Good,[4.08],1062500.0,5.5,, J-K-L, I,[' Pear-shaped'],[],,[]
1243,"Sapphire, Diamond, White Gold ", Very Good,[10.09  1.49],1062500.0,7.7,6.0, J-K-L, SI,[' Triangle-shaped'],[],,[]
1244,"Very Light Pink Diamond, Diamond, White Gold ", Good,[1.3  0.65],1062500.0,3.8,7.0, G-H-I, SI,"[' Full-cut', ' Cut-Cornered Rectangular Modified Brilliant']",[],,[]
1245,"Diamond, Colored Diamond, White Gold ", Very Good,[3.02 0.95 0.42],1062500.0,9.3,6.0, G-H-I, SI,"[' Full-cut', ' Round Brilliant']",[],,[]
1246,"Tourmaline, Gold ", Very Good,[8.9],1062500.0,19.9,6.0,,,[],[' Cushion-shaped'],,[' Tourmaline']
1247,"Sapphire, Diamond, Platinum ", Very Good,[4.05 1.12],1062500.0,8.8,6.0, G-H-I, VS,[' Baguette-cut'],[' Emerald-cut'],,[' Sapphire']
1248,"Citrine, Yellow Beryl, Gold ", Very Good,[40.5  1.1],1062500.0,39.3,7.0,,,[],"[' Rectangle, Square']",,"[' Citrine, Beryl']"
1249,"Colombian Emerald, Diamond, Platinum ", Very Good,[2.3  0.75 2.3 ],1062500.0,16.6,5.0, G-H-I, SI,"[' Full-cut, Baguette-cut']","[' Emerald-cut', ' Square Emerald-cut']",,"[' Emerald', ' Natural Beryl']"
1250,"Diamond, Platinum Eternity Band", Very Good,[7.19],1062500.0,12.1,, J-K-L, SI,[' Emerald'],[],,[]
1251,"Colombian Emerald, Diamond, White Gold ", Very Good,[20.65  2.8 ],1062500.0,16.7,, G-H-I, VS,[' full-cut'],"[' square emerald-cut', ' Square Emerald-cut']",,"[' emerald', ' Natural Beryl']"
1252,"Ceylon Sapphire, Diamond, Platinum ", Very Good,[5.47 0.4 ],1062500.0,4.7,6.0, G-H-I, SI,[' single-cut'],"[' oval-shaped', ' Oval']",,"[' pink sapphire', ' Natural Corundum']"
1253,"Diamond, Platinum ", Very Good,[2.5  1.15 0.15],1062500.0,10.7,6.0, G-H-I, VS,"[' European-cut, Full-cut, Baguette-cut']",[],,[]
1254,"Art Deco Ruby, Diamond, Platinum ", Very Good,[1.35 1.  ],1062500.0,7.8,5.0, G-H-I, VS,"[' European-cut, Single-cut']",[' Oval-shaped'],,[' Ruby']
1255,"Art Deco Diamond, Platinum ", Very Good,[2.85],1062500.0,4.0,7.0, J-K-L, VS,[' European-cut'],[],,[]
1256,"Art Deco Diamond, Glass, Platinum ", Very Good,[2.7 0.3],1062500.0,6.4,8.0, G-H-I, VS,"[' European-cut, Mine-cut']",[],,[]
1257,"Amethyst, Diamond, Emerald, Platinum-Topped Gold ", Very Good,[33.05  2.8   1.45],1062500.0,35.9,6.0, G-H-I, VS,[' Full-cut'],"[' Sugarloaf-cut, Oval Cabochon']",,"[' Amethyst, Emerald']"
1258,"Sapphire, Diamond, Gold ", Very Good,[5.16 0.85],1062500.0,15.5,, G-H-I, VS,[' Full-cut'],"[' Oval-shaped, Cabochon']", Good,[' Sapphire']
1259,"Emerald, Diamond, Platinum, Gold ", Very Good,[1.6  2.15],1062500.0,9.5,, G-H-I, VS,[' European-cut'],[' Emerald-cut'], Good,[' Emerald']
1260,"Jadeite Jade, Diamond, Platinum ", Very Good,[9.35 0.5 ],1062500.0,8.2,6.0, J-K-L, VS,"[' Baguette-cut, Full-cut']",[' Oval-shaped Cabochon'], Good,[' Jadeite Jade']
1261,"Diamond, Sapphire, Platinum ", Very Good,[1.5  0.35],1062500.0,7.45,5.0, G-H-I, VS,"[' Emerald-cut, Full-cut']",[' Calibré-cut'], Fine,[' Sapphire']
1262,"Antique Sapphire, Diamond, Silver-Topped Gold ", Very Good,[7.  3.1],1062500.0,8.8,3.0, J-K-L, SI,"[' European-cut, Mine-cut']",[' Cushion-cut'], Good,[' Sapphire']
1263,"de Grisogono Diamond, White Gold ", Very Good,[5.],1062500.0,,, G-H-I, VVS,[' Full-cut'],[],,[]
1264,"Emerald, Diamond, Platinum ", Very Good,[2.1  3.   0.75],1062500.0,8.94,4.0, G-H-I, VS,"[' Marquise, Full-cut']",[' Square Emerald-cut'], Fine,[' Emerald']
1265,"Sapphire, Diamond, Gold ", Very Good,[3.07 0.45],1062500.0,8.14,, G-H-I, VS,[' Full-cut'],[' Emerald-cut'], Good,[' Sapphire']
1266,"Gentleman's Diamond, Gold ", Very Good,[2.09],1062500.0,17.7,11.0, G-H-I, SI,[' Round Brilliant-cut'],[],,[]
